title,url,type,date,summary
🐴 How savvy parents are tutoring their kids,https://opened.co/newsletter/how-savvy-parents-are-tutoring-their-kids,daily,2025-06-26,The counterintuitive way to boost your child's reading progress. PLUS: Free reading assessment to know exactly what level they're at.
🐴 Mark Twain summer reading edition,https://opened.co/newsletter/mark-twain-summer-reading-edition,daily,2025-06-25,"Who really said, “Don’t let school interfere with your education”? Plus: deepfakes in school, why fidgeting helps learning, and our favorite Mark Twain picks for summer."
🐴 What happens when kids care?,https://opened.co/newsletter/what-happens-when-kids-care,daily,2025-06-24,Why motivation beats mandates every time. Plus: Homeschooling goes mainstream + science-backed learning
🐴 Print books beat screens for memory,https://opened.co/newsletter/print-books-beat-screens-for-memory,daily,2025-06-23,"What the NASA blooper reel says about real learning. PLUS: Why paper beats pixels, and Orwell's writing secret."
🐴 Is college the only path to success?,https://opened.co/newsletter/is-college-the-only-path-to-success,daily,2025-06-20,"The definition of ""career-ready"" is changing fast. Are we keeping up? PLUS: Standardized tests are back, and top tools for charting your own course."
🐴 High school juniors landing $70k jobs,https://opened.co/newsletter/high-school-juniors-landing-70k-jobs,daily,2025-06-19,Discover why dead ends might be your teen's most valuable learning experience. PLUS: Free career exploration tools beyond the traditional college route.
"🐴 ""My kids learned more when I backed off""",https://opened.co/newsletter/my-kids-learned-more-when-i-backed-off,daily,2025-07-18,How stepping back unlocks your child's genius. PLUS: The lighting change that calms fidgety kids overnight.
🐴 Why Most Kids Hate Math (and How to Fix It),https://opened.co/newsletter/why-most-kids-hate-math-and-how-to-fix-it,daily,2025-06-17,Most kids don't actually hate numbers—they hate how we teach them. PLUS: Three tools that make math finally click.
🐴 The four types of screen time,https://opened.co/newsletter/the-four-types-of-screen-time,daily,2025-06-16,A smarter way to judge screen time. PLUS: SAT tests are back & libraries fund startups.
🐴 The 3-part remedy for burnout,https://opened.co/newsletter/the-3-part-remedy-for-burnout,daily,2025-06-12,"Homeschool coach Meg Thomas shares why connection beats curriculum, plus decluttering for calmer kids, screen-time regulation insights, and 3 tools."
Stop stressing. Start designing. (A mom of 7 explains),https://opened.co/newsletter/stop-stressing-start-designing-a-mom-of-7-explains,daily,2025-06-13,"From spa-calm homeschool spaces to kids begging for more math, this edition covers environment-first learning, Gen Z choosing clarity over alcohol, AI-era education trends, and practical tools for independence and inspiration."
The #1 life skill to turn your child into a confident learner,https://opened.co/podcast/the-1-life-skill-to-turn-your-child-a-confident-learner,podcast,2025-07-18,Is cooking the solution to America's youth anxiety crisis? Katie Kimball thinks so.
What to Do When Your Students Don't Respect You (Michelle Rhee's Story),https://opened.co/podcast/what-to-do-when-your-students-dont-respect-you-michelle-rhees-story,podcast,2025-07-11,Lessons from Michelle Rhee's transformation from classroom disaster to education champion
From Viral Ads to Revolutionary Education: A Conversation with Benton Crane,https://opened.co/podcast/benton-crane-from-viral-ads-to-young-washington,podcast,2025-07-04,"The producer of the upcoming Young Washington movie gives advice to young people on how to overcome failure, and get past the gatekeepers to succeed in 2025 and beyond."
5 Myths Keeping Your Child From Reading Success (And the 25-Minute Solution),https://opened.co/podcast/5-myths-keeping-your-child-from-reading-success-and-the-25-minute-solution,podcast,2025-06-26,The Hidden Reading Crisis Every Parent Needs to Know About
College and Career Advice for Teens with Rose Ybaben (ft. Danielle Randall),https://opened.co/podcast/college-and-career-advice-for-teens-with-rose-ybaben-and-danielle-rose,podcast,2025-06-19,5 Counterintuitive Truths About Post-High School Planning That Most Parents Miss
Why Kids Hate Math—and 20 Resources to Help Fix It,https://opened.co/blog/why-kids-hate-math--and-20-resources-to-help-fix-it,blog,2025-06-17,Kids don't hate math—they hate how it's taught. Discover 20 play-based math tools ranked by homeschool parents to turn frustration into fascination.
Meg Thomas’s 3-Part Framework for Calm Homeschooling,https://opened.co/podcast/meg-thomass-3-part-framework-for-calm-homeschooling,podcast,2025-06-13,"A veteran homeschool mom of 7 reveals the real foundation of learning: connection, routines, and environment, with simple tools for calm."
🐴 His Tremor Tanked His Art. Then It Made Him.,https://opened.co/newsletter/his-tremor-tanked-his-art-then-it-made-him,daily,2025-06-11,An artist embraced his 'fatal flaw.' PLUS: Montessori's identity crisis & why some parents are ditching school for good.
🐴 Twain was right: Don't let schooling interfere with your education,https://opened.co/newsletter/twain-was-right-dont-let-schooling-interfere-with-your-education,daily,2025-06-10,The 200-year-old system is cracking. Here's what's replacing it. PLUS: Why Gen Z is saying no to alcohol (and yes to clarity).
🐴 Kids begged for more math when teachers did this.,https://opened.co/newsletter/kids-begged-for-more-math-when-teachers-did-this,daily,2025-06-09,"A simple grouping trick transforms math learning. PLUS: Why modeling self-care matters, and new data in the nature vs. nurture debate."
What Returning Families Need To Know for the 25-26 School Year,https://opened.co/blog/what-returning-families-need-to-know-for-the-25-26-school-year,announcements,2025-06-09,"If your family is coming back for another year of personalized learning with OpenEd, welcome! We’re glad to serve you again!"
7 Things Career Expert Ken Coleman Says Parents Get Wrong (And How to Fix Them),https://opened.co/podcast/7-things-career-expert-ken-coleman-says-parents-get-wrong-and-how-to-fix-them,podcast,2025-06-05,"Stop fixing your kid's weaknesses. Ramsey Solutions expert Ken Coleman explains why the world pays for 9s and 10s, not 5s. Plus his 3-wire career framework."
🐴 We need to talk about educational autopilot,https://opened.co/newsletter/we-need-to-talk-about-educational-autopilot,daily,2025-05-30,Connor Boyack exposes the conveyor belt trap. PLUS: Teen CEOs building empires before they can drive...
5 Questions with Tuttle Twins Creator Connor Boyack,https://opened.co/podcast/5-questions-with-tuttle-twins-creator-connor-boyack,podcast,2025-05-29,
🐴 The cure for childhood entitlement,https://opened.co/newsletter/the-cure-for-childhood-entitlement,daily,2025-05-27,Matt Bowman goes LIVE with Coach Meg Thomas TODAY at 11am MT. PLUS: The surprising brain science behind teen happiness
How OpenEd Teachers Master the Work-From-Home Juggle,https://opened.co/blog/how-opened-teachers-master-the-work-from-home-juggle,blog,2025-05-23,"22 teachers share battle-tested strategies for working from home with kids. Get practical tips for boundaries, schedules, and turning chaos into productivity."
The school that trusts parents to design their child's education,https://opened.co/podcast/opened-academy,podcast,2025-05-21,Announcing the OpenEd Academy - a virtual private school accepting nation-wide enrollment for the 2025-2026 school year.
When the Smartest Person in the World Called Out Our Schools,https://opened.co/blog/when-the-smartest-person-in-the-world-called-out-our-schools,blog,2025-05-20,World's smartest person Marilyn vos Savant reveals 5 education lessons from the famous Monty Hall problem: Why passive schooling kills critical thinking.
The 228 IQ genius who warned us about schools,https://opened.co/newsletter/the-228-iq-genius-who-warned-us-about-schools,daily,2025-05-20,"How Marilyn vos Savant correctly solved the puzzle 1,000 PhDs got wrong + what it reveals about education's fatal flaw... PLUS: The Monty Hall solution revealed 3 Quick Bites: 🍎 How the world's highest IQ exposed the passive trap of compulsory schooling
🍎 The famous math problem that proves why independent thinking matters
🍎 Why teaching children to analyze different perspectives builds true intelligence"
Humans aren't Model Ts,https://opened.co/newsletter/humans-arent-model-ts,daily,2025-05-19,"The surprising lesson one dad learned from a $3.99 game + why educational disruption is finally happening... PLUS: Today's trivia could win you $10K (if you ignore your math professor) 3 Quick Bites: 🍎 Why treating students like assembly line products costs us everything
🍎 The $3.99 game that teaches what schools rarely do: productive frustration
🍎 40% of students have left traditional schools—and it's just the beginning"
🐴 Why our book hit #1 (hint: thanks to you),https://opened.co/newsletter/why-our-book-hit-1-hint-thanks-to-you,daily,2025-05-16,"Plus free ""Ed the horse"" t-shirt for book reviewers!"
🏆 #1 bestseller!,https://opened.co/newsletter/1-bestseller,daily,2025-05-14,"Plus: ""Open Education"" paperback now available! (99¢ ebook extended)"
🐴 It's here 🎉,https://opened.co/newsletter/its-here,daily,2025-05-13,Get your copy of Open Education for 99 cents (launch day only)
🐴 Tomorrow: Break Free from One-Size-Fits-All Education (Special Book Launch!),https://opened.co/newsletter/tomorrow-break-free-from-one-size-fits-all-education-special-book-launch,daily,2025-05-12,Learn how to design a personalized learning journey that celebrates your child's uniqueness. PLUS: Exclusive launch bonuses available tomorrow only!
🐴 From tree houses to chicken coops - learning by doing,https://opened.co/newsletter/from-tree-houses-to-chicken-coops---learning-by-doing,daily,2025-05-09,The powerful template for math and science education hiding in your backyard...
"The 200-Year-Old Trap: Breaking Down Part One of ""Open Education""",https://opened.co/podcast/the-200-year-old-trap-breaking-down-part-one-of-open-education,podcast,2025-05-15,"A conversation with Isaac Morehouse and Matt Bowman on their new book, the history of schooling, standardization, and the power of ""not yet"""
Have We Been Teaching STEM Backwards? The Case for Project-Based Learning,https://opened.co/podcast/have-we-been-teaching-stem-completely-backwards-the-case-for-project-based-learning,podcast,2025-05-08,Jack Casdorph on why theory-first education fails and how projects spark real curiosity
Backyard Chickens: The Ultimate Hands-On Homeschooling Project?,https://opened.co/blog/backyard-chickens-the-ultimate-hands-on-homeschooling-project-2,blog,2025-05-07,"If you're looking for an educational project that combines science, math, business, construction, responsibility, and occasional moments of running through your yard screaming ""THE CHICKEN IS LOOSE!"" – look no further than backyard chickens. Read on to learn why raising chickens creates uniquely effective learning opportunities - and how to get started with your own flock."
Backyard Chickens: The Ultimate Hands-On Homeschooling Project?,https://opened.co/blog/backyard-chickens-the-ultimate-hands-on-homeschooling-project,blog,2025-05-07,"If you're looking for an educational project that combines science, math, business, construction, responsibility, and occasional moments of running through your yard screaming ""THE CHICKEN IS LOOSE!"" (P.E.?) – look no further than backyard chickens."
🐴 The case for MORE screens?,https://opened.co/newsletter/the-case-for-more-screens,daily,2025-05-02,"""Not all screen time is created equal,"" says Outschool CEO. See why the distinction matters, and which classes are revolutionizing how kids learn. PLUS: Dave Ramsey's ""worth test"" for college."
"🐴 Bigfoot, Wizard Cooking, and a Minecraft Modding Class",https://opened.co/newsletter/bigfoot-wizard-cooking-and-a-minecraft-modding-class,daily,2025-05-01,"How Outschool.com is upending the world of alternative education (and our perception of ""screen time""). PLUS: Welcome to the era of Networked Schooling."
🐴 Screens have taken over classrooms,https://opened.co/newsletter/screens-have-taken-over-classrooms,daily,2025-04-30,
🐴 Open Education: The Book Launch Countdown Begins,https://opened.co/newsletter/open-education-the-book-launch-countdown-begins,daily,2025-04-29,"Mark your calendars! On May 13, Matt Bowman and Isaac Morehouse will launch their new book, *Open Education: How to Reimagine Learning, Ignite Curiosity, and Prepare Your Kids for Success."
"🐴 Dave Ramsey: ""We're fools about education""",https://opened.co/newsletter/dave-ramsey-were-fools-about-education,daily,2025-04-28,"The college question isn't yes/no, it's ""what am I getting for what I'm paying?"" PLUS: The financial education curriculum that schools aren't teaching"
"🐴 Protecting the ""Internal Spark""",https://opened.co/newsletter/protecting-the-internal-spark,daily,2025-04-25,"From calculator protests to Nobel Prize winners, what history teaches us about the tools (and fears) that shape education..."
"🐴 Are we making our kids more anxious by keeping them ""safe""?",https://opened.co/newsletter/are-we-making-our-kids-more-anxious-by-keeping-them-safe,daily,2025-04-24,"The definition of anxiety is thinking there will be something scary that you won't be able to deal with."" Lenore Skenazy on why overprotection might be the real danger. Plus: How hybrid homeschool communities are reimagining education."
Coming Soon: OpenEd’s New Platform!,https://opened.co/blog/coming-soon-openeds-new-platform,blog,2025-02-07,
What Makes a Thriving Homeschool Collective? | Cassie Tinsmon,https://opened.co/podcast/what-makes-a-thriving-homeschool-collective-cassie-tinsmon,podcast,2025-04-24,How one mother is redefining education by removing the boundaries between learning and living
Stop Limiting Your Child's Screen Time (Do This Instead),https://opened.co/podcast/dont-limit-screentime,podcast,2025-04-30,"How companies like Outschool are giving parents more options than just ""school vs. homeschool"""
Homeschool Kindergarten Without Walls: Freedom as the Ultimate Curriculum,https://opened.co/blog/homeschool-kindergarten-curriculum,blog,2025-04-27,"Is early academics helping or hurting your child? Explore why play, freedom, and curiosity may be the true foundation of kindergarten readiness—and how to create a rich homeschool learning environment without worksheets."
A Sneak Peek at the 2025 Marketplace!,https://opened.co/blog/a-sneak-peek-at-the-2025-marketplace,announcements,2025-04-28,"You may have heard (or read!) about our new approach to curriculum access — a dynamic marketplace of resources coming to the OpenEd platform for the 2025-2026 program year. Today, I’m thrilled to take it one step further and give you a sneak peek at what’s inside!
"
No One “Right Way” to Learn,https://opened.co/newsletter/no-one-right-way-to-learn,daily,2024-08-06,"Learn what’s driving the shift to open education: eclectic homeschooling ideas, the rise of parent “customizers,” and a LEGO-backed study revealing kids want more hands-on, self-directed, creative learning."
"🍎 Redefining ""Back-to-School""",https://opened.co/newsletter/redefining-back-to-school,daily,2024-08-19,"Flexible learning, personalized spaces, and joyful traditions."
#040 - How to encourage reluctant readers,https://opened.co/newsletter/040---how-to-encourage-reluctant-readers,daily,2024-09-26,Reading rebels and academic prodigies – nurturing learners at every age
#058 - How to get your child to take you seriously as the 'teacher',https://opened.co/newsletter/058---how-to-get-your-child-to-take-you-seriously-as-the-teacher,daily,2024-10-21,"Flexibility, Blurry Education Lines, and Teaching Tips from /r/homeschool"
#078 - Education > school,https://opened.co/newsletter/078---education-school,daily,2024-11-18,"A father's heartfelt manifesto, the truth about tech in learning, and how to make history come alive"
#101 - When Builders Become Architects,https://opened.co/newsletter/101---when-builders-become-architects,daily,2024-12-19,"A construction worker redesigns education, MinutePhysics makes science simple, and why the public vs. private school war is finally ending."
"New Jersey Governor: ""Enough is Enough""🐴 #114",https://opened.co/newsletter/new-jersey-governor-enough-is-enough-114,daily,2025-01-16,Psychologist Jonathan Haidt on childhood fragility... and how to give new life to your dried-up Crayola markers
"🐴 Skip Stanford, Buy a Business: The New Success Formula (#118)",https://opened.co/newsletter/skip-stanford-buy-a-business-the-new-success-formula-118,daily,2025-01-22,"The unexpected path from honey to geometry, why plumbers might be the new tech bros, and the secret sauce for spelling success."
🐴 3 ways to cut teaching time in half without sacrificing results (#125),https://opened.co/newsletter/3-ways-to-cut-teaching-time-in-half-without-sacrificing-results-125,daily,2025-01-31,"From skatepark physics to Hollywood filmmakers, how innovative educators are revolutionizing learning speed. Plus: Texas proposes $10k student freedom accounts, and the Math Crisis deepens."
🐴 The false choice,https://opened.co/newsletter/the-false-choice,daily,2025-02-26,"Education is moving past the school/homeschool binary. See the 220% microschool rise, hybrid models, and research-backed early literacy tools."
🐴 This education trend has seen a 220% increase,https://opened.co/newsletter/this-education-trend-has-seen-a-220-increase,daily,2025-02-28,(Hint: it's microschooling) PLUS: Tonight's rare planetary alignment & Feynman's technique for true learning.
🐴 Handy guide to free curriculum,https://opened.co/newsletter/handy-guide-to-free-curriculum,daily,2025-03-07,How to optimize home education (without breaking the bank). PLUS: The cure for self-doubt.
The math is broken: College's ROI problem,https://opened.co/newsletter/the-math-is-broken-colleges-roi-problem,daily,2025-03-13,"Google, Apple, and Tesla have removed degree requirements. Does that mean college isn't worth it anymore? PLUS: The 6-month alternative that's creating better career outcomes without debt."
🐴 Weekly Roundup: The College ROI Question,https://opened.co/newsletter/weekly-roundup-the-college-roi-question,daily,2025-03-14,From tech layoffs to degree-free hiring: How the returns on a traditional college education have changed. PLUS: Alternative career paths for smart teens.
"🐴 Access 75,000 free books without Amazon",https://opened.co/newsletter/access-75-000-free-books-without-amazon,daily,2025-03-17,Jeremy Caplan reveals a treasure trove of free reading resources that expand your child's learning world without expanding your budget. PLUS: Becoming an educational architect.
🎙️ This mom turned a van into a microschool,https://opened.co/newsletter/this-mom-turned-a-van-into-a-microschool,daily,2025-03-19,From mobile classrooms to kitchen table co-ops - the micro-community movement is changing education. PLUS: How to start your own microschool.
🐴 Weekly Roundup: A Brief Guide to Building Educational Micro-communities,https://opened.co/newsletter/weekly-roundup-a-brief-guide-to-building-educational-micro-communities,daily,2025-03-21,Discover how micro-communities and specialized educators are reshaping personalized education. PLUS: A free life hack to vet YouTube videos and podcasts for inappropriate content.
🐴 AI tutors are advancing quickly: should you try one?,https://opened.co/newsletter/ai-tutors-are-advancing-quickly-should-you-try-one,daily,2025-03-24,Discover how AI tutors are revolutionizing personalized learning and which ones families are raving about. PLUS: The surprising grammar rules we all know without ever being taught.
🐴 Why learning should look like failing,https://opened.co/newsletter/why-learning-should-look-like-failing,daily,2025-03-26,"Seth Godin reveals why mistakes are essential to real learning. PLUS: The startling math about how little time you have with your kids, and turning family photos into Studio Ghibli art."
🐴 Weekly Roundup: How to build a 'self-managing family' (from a mom of 7),https://opened.co/newsletter/weekly-roundup-how-to-build-a-self-managing-family-from-a-mom-of-7,daily,2025-03-28,"From AI tutors to Miyazaki-style family photos, what our fascination with artificial creativity reveals about being human..."
🐴 Your child isn't broken (but their chair might be),https://opened.co/newsletter/your-child-isnt-broken-but-their-chair-might-be,daily,2025-04-02,Traditional schools diagnose fidgety kids. Smart parents redesign their environment instead. PLUS: How to build a complete learning haven for under $100.
🐴 The 3.4 GPA Student Who Couldn't Read,https://opened.co/newsletter/the-3-4-gpa-student-who-couldnt-read,daily,2025-04-03,A shocking case from Tennessee reveals how a student graduated with honors but couldn't read his own diploma. Plus: Why mastery-based learning might be the solution.
🐴 Weekly Roundup: When Good Grades Hide Systemic Failure,https://opened.co/newsletter/weekly-roundup-when-good-grades-hide-systemic-failure,daily,2025-04-04,From a 3.4 GPA student who couldn't read to why Silicon Valley's education secret is finally leaking out... PLUS: The AI tool that matches your child with the perfect curriculum in minutes.
🐴 The Tebow Effect (when being different pays off),https://opened.co/newsletter/the-tebow-effect-when-being-different-pays-off,daily,2025-04-07,"Tim Tebow reveals how homeschooling shaped his success and why being ""different"" can be a strength. PLUS: Simple transcript solutions and why our education system punishes what the real world rewards."
🐴 Why John Taylor Gatto Quit,https://opened.co/newsletter/why-john-taylor-gatto-quit,daily,2025-04-09,An award-winning teacher reveals why he quit at the peak of his career. PLUS: Why phonics isn't enough to improve reading scores & 5 mental razors for better educational decisions.
🐴 Print Your Own Diploma (Weekly Roundup),https://opened.co/newsletter/print-your-own-diploma-weekly-roundup,daily,2025-04-11,"From valedictorian's empty victory to homeschool diplomas at the Mayo Clinic, why traditional credentials matter less than you think..."
🐴 Personal tutors for all (Sal Khan's latest promise),https://opened.co/newsletter/personal-tutors-for-all-sal-khans-latest-promise,daily,2025-04-16,Khan Academy's AI tutoring tool makes big claims. Plus: How to know what's in your child's books before they read them.
"🐴 Nobel Prize winner: ""I don't believe in honors""",https://opened.co/newsletter/nobel-prize-winner-i-dont-believe-in-honors,daily,2025-04-22,"Nobel physicist Richard Feynman's rejection of external validation offers a powerful lesson for education. PLUS: What's really happening at the Department of Education, and how to navigate a massive homeschool resource database."
🐴 Why Ansel Adams' father pulled him out of school,https://opened.co/newsletter/why-ansel-adams-father-pulled-him-out-of-school,daily,2025-04-23,"When Ansel Adams was 12, his father pulled him from school and gave him a pass to the World's Fair instead. The result? One of America's most celebrated artists. Plus: what kindergartners really need (and it's not more worksheets)."
Welcome to the OpenEd Daily,https://opened.co/newsletter/students-arent-standard,daily,2024-08-01,The world is changing. Education is catching up.
Back-to-School Boost: Brain Breaks & Resilient Kids,https://opened.co/newsletter/back-to-school-boost-brain-breaks-resilient-kids,daily,2024-08-02,Why more breaks could be what your child needs to get unstuck
Unbundling Education (and Why It Matters),https://opened.co/newsletter/unbundling-education-and-why-it-matters,daily,2024-08-06,"Bite-sized brain food on the future of learning: podcast highlights with Michael B. Horn, homeschooling’s rapid rise, what “unbundling” education means, and a magical demo of kid-powered AI coding."
A few questions about the launch of OpenEd,https://opened.co/newsletter/questions-launch-opened,daily,2024-08-05,Where we're going
When someone asks if you homeschool...,https://opened.co/newsletter/someone-asks-homeschool,daily,2024-08-08,It's time for a new language in education
Is a college degree still worth it?,https://opened.co/newsletter/college-degree-still-worth,daily,2024-08-07,College at 16? Rethinking higher ed & forging new paths.
The Power of Open Education,https://opened.co/newsletter/weekly-rundown-the-power-of-open-education,daily,2024-08-09,5 tidbits you might have missed this week
Teaching outside the classroom,https://opened.co/newsletter/teaching-outside-classroom,daily,2024-08-12,Meet the mom who went back to school to better support her kids' unique learning needs
"What is a ""good job""?",https://opened.co/newsletter/good-job,daily,2024-08-14,Mike Rowe (the Dirty Jobs guy) thinks CTE is the Future of Education
🍎 The Great Enrollment Shuffle (tl;dr Tuesday),https://opened.co/newsletter/great-enrollment-shuffle-tldr-tuesday,daily,2024-08-13,"Why we're OpenEd now, the rise of the microschooling ecosystem, and the decline of public school enrollment"
Tech-savvy teens will win the future,https://opened.co/newsletter/techsavvy-teens-will-win-future,daily,2024-08-15,And why industry isn't satisfied with the current educational system
The Weekly Rundown: Learning Beyond School,https://opened.co/newsletter/the-weekly-rundown-learning-beyond-school,daily,2024-08-16,3 quick tidbits you might have missed this week
The Homeschool-to-Founder Pipeline,https://opened.co/newsletter/the-homeschool-to-founder-pipeline,daily,2024-08-20,"AI, edupreneurs, and brain-boosting audiobooks"
Matt Bowman // What if we graded LeBron James like a student?,https://opened.co/newsletter/matt-bowman-graded-lebron-james-like-student,daily,2024-08-21,"Roger Federer, LeBron James, and Simone Biles would be academic underperformers. Here's why that matters for education."
The end of one-size-fits-all?,https://opened.co/newsletter/end-onesizefitsall,daily,2024-08-22,"Michael B. Horn on the ""unbundling"" of standardized schooling"
"🍎 The OpenEd Weekly: Rethinking Education from LeBron to ""Back-to-School""",https://opened.co/newsletter/opened-weekly-rethinking-education-lebron-backtoschool,daily,2024-08-23,4 tidbits you may have missed this week
Matt Bowman // You're a trailblazer,https://opened.co/newsletter/matt-bowman-youre-trailblazer,daily,2024-08-26,(and here's why your friends need to know)
🍎  tl;dr Tuesday: The New Science of Raising Happy Kids,https://opened.co/newsletter/tldr-tuesday-new-science-raising-happy-kids,daily,2024-09-03,A 50+ year-long study reveals the secret sauce of parenting and educating
📬 Mailbag: Do You Need a Diploma for Success?,https://opened.co/newsletter/mailbag-need-diploma-success,daily,2024-08-28,One parent's dilemma sparks a discussion on non-traditional paths to college and career success. Plus: How our CEO got into college without a diploma!
She almost gave up on education,https://opened.co/newsletter/almost-gave-education,daily,2024-08-29,"From college dropout to leading thousands of OpenEd learners, Andrea Fife explains how personalization changes everything—along with episode highlights and details on available Makerspace classes at Thanksgiving Point."
🍎 The OpenEd Weekly: Breaking Boundaries in Education,https://opened.co/newsletter/opened-weekly-breaking-boundaries-education,daily,2024-08-30,3 tidbits you may have missed this week
Confession: I played with LEGO instead of doing math,https://opened.co/newsletter/confession-played-lego-instead-math,daily,2024-09-02,"How ""wasting time"" with plastic bricks shaped my future (and why it's okay if your kid hates Saxon Math)"
Worldschooling Without the Plane Ticket,https://opened.co/newsletter/worldschooling-without-the-plane-ticket,daily,2024-09-04,"Worldschooling, Free Reading App, and a Pickleball Prodigy"
Deschooling vs. Unschooling,https://opened.co/newsletter/deschooling-vs-unschooling,daily,2024-09-05,"Hannah Frankman (@RebelEducator) on 'deschooling' plus 5 philosophical ""razors"" to sharpen your critical thinking"
🍎 The OpenEd Weekly: From LEGO learning to happy kids,https://opened.co/newsletter/opened-weekly-lego-learning-happy-kids,daily,2024-09-08,5 tidbits you may have missed this week
🍎  tl;dr Tuesday: 100 million views and counting... but,https://opened.co/newsletter/tldr-tuesday-100-million-views-counting,daily,2024-09-10,Sir Ken Robinson's Revolutionary TED talk is the Most-Watched Lesson Never Learned
Quick question for you,https://opened.co/newsletter/quick-question,daily,2024-09-11,From word of mouth to learning out loud
#030 - Conditioning vs. Education,https://opened.co/newsletter/conditioning-vs-education,daily,2024-09-12,Humans are born learners. How can we foster kids' curiosity in ways that let them grow?
#031 - Weekly Roundup: The Most-Watched Lesson Never Learned,https://opened.co/newsletter/weekly-roundup-mostwatched-lesson-never-learned,daily,2024-09-13,"1 thought, 1 trend and 1 tool to carry you through to the weekend"
#032 - The new success formula for teens,https://opened.co/newsletter/new-success-formula-teens,daily,2024-09-16,"A lightbulb moment, Jay-Z's new philanthropic push, and math programs for the masses"
"#034 - Pandemic Pods, KaiPods, and iPods",https://opened.co/newsletter/pandemic-pods-kaipods-ipods,daily,2024-09-18,From portable music to portable classrooms. How education is stepping out of the box (and into the pod).
#033 - Thought–Trend–Tool: Tl;dr Tuesday edition,https://opened.co/newsletter/thoughttrendtool-tldr-tuesday-edition,daily,2024-09-17,"From sandwich stands to AI tutors and hands-on learning to the future of education. Plus, 25 ways to socialize your kids outside of a classroom."
#035 - Taste it. Feel it. Do it.,https://opened.co/newsletter/taste-feel,daily,2024-09-19,PODCAST: Mark Hyatt of Falcon AeroLab is on a mission to get kids in the sky.
#036 - Weekly Roundup: The new success formula for teens,https://opened.co/newsletter/weekly-roundup-the-new-success-formula-for-teens,daily,2024-09-20,"Curiosity beats curriculum. Explore how teens can thrive with hands-on projects, rethinking risk, and rising alternatives like pandemic pods and microschools."
#037 - Obsessive interest can be a superpower,https://opened.co/newsletter/obsessive-interest-can-be-a-superpower,daily,2024-09-23,"The value of ""deep dives,"" the State of the American Student, and a fun game to play at the beach"
#038 - How to start a business (with no ideas),https://opened.co/newsletter/how-to-start-a-business-with-no-ideas,daily,2024-09-24,"Becoming a ""problem detective"" – plus: Aiden Prout's $150,000 idea and our ultimate guide to marketing yourself"
#043 - The miracle ingredient in any environment,https://opened.co/newsletter/the-miracle-ingredient-in-any-environment,daily,2024-10-01,Mark Hyatt on trust. Plus: the danger of comparisons and sensory processing in neurodivergent kids
#039 - Saying 'yes' + cupcakes = recipe for success,https://opened.co/newsletter/saying-yes-cupcakes-recipe-for-success,daily,2024-09-25,The surprisingly delicious connection between baking and STEM education
#041 - From dyslexic dropouts to doctoral degrees at 17,https://opened.co/newsletter/from-dyslexic-dropouts-to-doctoral-degrees-at-17,daily,2024-09-27,"From a dyslexic dropout turned top chef to teen PhDs and student entrepreneurs—this issue celebrates saying yes, deep-focus learning, and hands-on STEM."
#042 - What parents and teens think about screen time,https://opened.co/newsletter/what-parents-and-teens-think-about-screen-time,daily,2024-09-30,"“Apple Vision Pro. Like, what even is that?”"
"#045 - Yes, you are qualified to teach your child",https://opened.co/newsletter/yes-you-are-qualified-to-teach-your-child,daily,2024-10-03,Matt & Isaac answer your questions on the OpenEd podcast
#044 - The cliffhanger technique for read-alouds,https://opened.co/newsletter/the-cliffhanger-technique-for-read-alouds,daily,2024-10-02,"Two kinds of memory, an update on standardized testing, and a read-aloud method to keep your kids on the edge of their seat"
#048 - From Moon Head to Main Character,https://opened.co/newsletter/from-moon-head-to-main-character,daily,2024-10-08,"When less (parenting) is more, the new success metrics, and the return of Mac Tonight"
#046 – Of Screen time and cliffhangers,https://opened.co/newsletter/of-screen-time-and-cliffhangers,daily,2024-10-04,"This week on OpenEd Daily: trust as the key to high-stakes learning, memory that builds understanding, Gen Z’s tech skepticism, testing “shell games,” and fresh tools for nature, sensory needs, and read-alouds."
#047 - Beyond mere choice,https://opened.co/newsletter/beyond-mere-choice,daily,2024-10-07,"Having choices in education is important, especially informed choices"
#049 - The (necessary) humility of Open Education,https://opened.co/newsletter/the-necessary-humility-of-open-education,daily,2024-10-09,"When to check your ego, plus: are traditional high schools finally getting the memo?"
#051 – The 10-minute rule,https://opened.co/newsletter/the-10-minute-rule,daily,2024-10-11,The value of alternating between intense focus and focused breaks - and much more.
#050 - The paradox of sacrifice,https://opened.co/newsletter/the-paradox-of-sacrifice,daily,2024-10-10,The growing appeal of outdoor education in an age of comfort and screens
"#052 - ""I wish school had taught me that""",https://opened.co/newsletter/i-wish-school-had-taught-me-that,daily,2024-10-14,50CAN's 'State of Educational Opportunity' report has arrived and it does not disappoint
#061 - The ROI of Personalized Education,https://opened.co/newsletter/the-roi-of-personalized-education,daily,2024-10-24,"For every five tradespeople who retire this year, two will replace them"
#054 - Why your GPA might not matter anymore (according to Google),https://opened.co/newsletter/why-your-gpa-might-not-matter-anymore-according-to-google,daily,2024-10-16,"The formula for fulfilling work, ADHD parenting summit, and some #facts about GPA"
#055 - How do I know if we're learning anything without grades/standardized tests?,https://opened.co/newsletter/how-do-i-know-if-we-re-learning-anything-without-grades-standardized-tests,daily,2024-10-17,Challenging the assumptions behind standardized testing
